path,dataset,speaker,emotion
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,RAVDESS,Actor_01,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,RAVDESS,Actor_01,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,RAVDESS,Actor_01,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,RAVDESS,Actor_01,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-01-01.wav,RAVDESS,Actor_01,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-02-01.wav,RAVDESS,Actor_01,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,RAVDESS,Actor_01,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-02-01.wav,RAVDESS,Actor_01,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-01-01.wav,RAVDESS,Actor_01,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-02-01.wav,RAVDESS,Actor_01,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-01-01.wav,RAVDESS,Actor_01,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-02-01.wav,RAVDESS,Actor_01,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-01-01.wav,RAVDESS,Actor_01,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-02-01.wav,RAVDESS,Actor_01,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-01-01.wav,RAVDESS,Actor_01,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-02-01.wav,RAVDESS,Actor_01,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-01-01.wav,RAVDESS,Actor_01,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-02-01.wav,RAVDESS,Actor_01,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-01-01.wav,RAVDESS,Actor_01,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-02-01.wav,RAVDESS,Actor_01,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-01-01.wav,RAVDESS,Actor_01,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-02-01.wav,RAVDESS,Actor_01,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-01-01.wav,RAVDESS,Actor_01,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-02-01.wav,RAVDESS,Actor_01,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-01-01.wav,RAVDESS,Actor_01,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-02-01.wav,RAVDESS,Actor_01,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-01-01.wav,RAVDESS,Actor_01,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-02-01.wav,RAVDESS,Actor_01,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-01-01.wav,RAVDESS,Actor_01,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-02-01.wav,RAVDESS,Actor_01,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-01-01.wav,RAVDESS,Actor_01,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-02-01.wav,RAVDESS,Actor_01,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-01-01.wav,RAVDESS,Actor_01,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-02-01.wav,RAVDESS,Actor_01,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-01-01.wav,RAVDESS,Actor_01,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-02-01.wav,RAVDESS,Actor_01,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-01-01-01.wav,RAVDESS,Actor_01,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-01-02-01.wav,RAVDESS,Actor_01,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-02-01-01.wav,RAVDESS,Actor_01,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-02-02-01.wav,RAVDESS,Actor_01,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-01-01-01.wav,RAVDESS,Actor_01,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-01-02-01.wav,RAVDESS,Actor_01,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-02-01-01.wav,RAVDESS,Actor_01,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-02-02-01.wav,RAVDESS,Actor_01,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-01-01-02.wav,RAVDESS,Actor_02,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-01-02-02.wav,RAVDESS,Actor_02,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-02-01-02.wav,RAVDESS,Actor_02,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-02-02-02.wav,RAVDESS,Actor_02,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-01-01-02.wav,RAVDESS,Actor_02,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-01-02-02.wav,RAVDESS,Actor_02,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-02-01-02.wav,RAVDESS,Actor_02,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-02-02-02.wav,RAVDESS,Actor_02,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-01-01-02.wav,RAVDESS,Actor_02,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-01-02-02.wav,RAVDESS,Actor_02,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-02-01-02.wav,RAVDESS,Actor_02,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-02-02-02.wav,RAVDESS,Actor_02,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-01-01-02.wav,RAVDESS,Actor_02,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-01-02-02.wav,RAVDESS,Actor_02,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-02-01-02.wav,RAVDESS,Actor_02,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-02-02-02.wav,RAVDESS,Actor_02,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-01-01-02.wav,RAVDESS,Actor_02,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-01-02-02.wav,RAVDESS,Actor_02,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-02-01-02.wav,RAVDESS,Actor_02,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-02-02-02.wav,RAVDESS,Actor_02,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-01-01-02.wav,RAVDESS,Actor_02,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-01-02-02.wav,RAVDESS,Actor_02,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-02-01-02.wav,RAVDESS,Actor_02,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-02-02-02.wav,RAVDESS,Actor_02,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-01-01-02.wav,RAVDESS,Actor_02,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-01-02-02.wav,RAVDESS,Actor_02,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-02-01-02.wav,RAVDESS,Actor_02,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-02-02-02.wav,RAVDESS,Actor_02,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-01-01-02.wav,RAVDESS,Actor_02,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-01-02-02.wav,RAVDESS,Actor_02,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-02-01-02.wav,RAVDESS,Actor_02,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-02-02-02.wav,RAVDESS,Actor_02,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-01-01-02.wav,RAVDESS,Actor_02,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-01-02-02.wav,RAVDESS,Actor_02,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-02-01-02.wav,RAVDESS,Actor_02,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-02-02-02.wav,RAVDESS,Actor_02,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-01-01-02.wav,RAVDESS,Actor_02,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-01-02-02.wav,RAVDESS,Actor_02,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-02-01-02.wav,RAVDESS,Actor_02,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-02-02-02.wav,RAVDESS,Actor_02,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-01-01-02.wav,RAVDESS,Actor_02,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-01-02-02.wav,RAVDESS,Actor_02,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-02-01-02.wav,RAVDESS,Actor_02,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-02-02-02.wav,RAVDESS,Actor_02,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-01-01-02.wav,RAVDESS,Actor_02,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-01-02-02.wav,RAVDESS,Actor_02,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-02-01-02.wav,RAVDESS,Actor_02,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-02-02-02.wav,RAVDESS,Actor_02,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-01-01-02.wav,RAVDESS,Actor_02,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-01-02-02.wav,RAVDESS,Actor_02,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-02-01-02.wav,RAVDESS,Actor_02,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-02-02-02.wav,RAVDESS,Actor_02,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-01-01-02.wav,RAVDESS,Actor_02,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-01-02-02.wav,RAVDESS,Actor_02,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-02-01-02.wav,RAVDESS,Actor_02,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-02-02-02.wav,RAVDESS,Actor_02,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-01-01-02.wav,RAVDESS,Actor_02,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-01-02-02.wav,RAVDESS,Actor_02,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-02-01-02.wav,RAVDESS,Actor_02,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-02-02-02.wav,RAVDESS,Actor_02,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-01-01-03.wav,RAVDESS,Actor_03,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-01-02-03.wav,RAVDESS,Actor_03,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-02-01-03.wav,RAVDESS,Actor_03,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-02-02-03.wav,RAVDESS,Actor_03,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-01-01-03.wav,RAVDESS,Actor_03,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-01-02-03.wav,RAVDESS,Actor_03,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-02-01-03.wav,RAVDESS,Actor_03,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-02-02-03.wav,RAVDESS,Actor_03,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-01-01-03.wav,RAVDESS,Actor_03,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-01-02-03.wav,RAVDESS,Actor_03,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-02-01-03.wav,RAVDESS,Actor_03,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-02-02-03.wav,RAVDESS,Actor_03,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-01-01-03.wav,RAVDESS,Actor_03,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-01-02-03.wav,RAVDESS,Actor_03,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-02-01-03.wav,RAVDESS,Actor_03,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-02-02-03.wav,RAVDESS,Actor_03,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-01-01-03.wav,RAVDESS,Actor_03,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-01-02-03.wav,RAVDESS,Actor_03,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-02-01-03.wav,RAVDESS,Actor_03,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-02-02-03.wav,RAVDESS,Actor_03,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-01-01-03.wav,RAVDESS,Actor_03,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-01-02-03.wav,RAVDESS,Actor_03,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-02-01-03.wav,RAVDESS,Actor_03,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-02-02-03.wav,RAVDESS,Actor_03,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-01-01-03.wav,RAVDESS,Actor_03,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-01-02-03.wav,RAVDESS,Actor_03,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-02-01-03.wav,RAVDESS,Actor_03,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-02-02-03.wav,RAVDESS,Actor_03,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-01-01-03.wav,RAVDESS,Actor_03,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-01-02-03.wav,RAVDESS,Actor_03,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-02-01-03.wav,RAVDESS,Actor_03,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-02-02-03.wav,RAVDESS,Actor_03,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-01-01-03.wav,RAVDESS,Actor_03,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-01-02-03.wav,RAVDESS,Actor_03,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-02-01-03.wav,RAVDESS,Actor_03,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-02-02-03.wav,RAVDESS,Actor_03,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-01-01-03.wav,RAVDESS,Actor_03,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-01-02-03.wav,RAVDESS,Actor_03,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-02-01-03.wav,RAVDESS,Actor_03,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-02-02-03.wav,RAVDESS,Actor_03,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-01-01-03.wav,RAVDESS,Actor_03,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-01-02-03.wav,RAVDESS,Actor_03,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-02-01-03.wav,RAVDESS,Actor_03,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-02-02-03.wav,RAVDESS,Actor_03,fearful
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-01-01-03.wav,RAVDESS,Actor_03,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-01-02-03.wav,RAVDESS,Actor_03,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-02-01-03.wav,RAVDESS,Actor_03,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-02-02-03.wav,RAVDESS,Actor_03,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-07-02-01-01-03.wav,RAVDESS,Actor_03,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-07-02-01-02-03.wav,RAVDESS,Actor_03,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-07-02-02-01-03.wav,RAVDESS,Actor_03,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-07-02-02-02-03.wav,RAVDESS,Actor_03,disgust
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-08-01-01-01-03.wav,RAVDESS,Actor_03,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-08-01-01-02-03.wav,RAVDESS,Actor_03,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-08-01-02-01-03.wav,RAVDESS,Actor_03,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-08-01-02-02-03.wav,RAVDESS,Actor_03,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-08-02-01-01-03.wav,RAVDESS,Actor_03,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-08-02-01-02-03.wav,RAVDESS,Actor_03,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-08-02-02-01-03.wav,RAVDESS,Actor_03,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_03\03-01-08-02-02-02-03.wav,RAVDESS,Actor_03,surprised
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-01-01-01-01-04.wav,RAVDESS,Actor_04,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-01-01-01-02-04.wav,RAVDESS,Actor_04,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-01-01-02-01-04.wav,RAVDESS,Actor_04,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-01-01-02-02-04.wav,RAVDESS,Actor_04,neutral
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-02-01-01-01-04.wav,RAVDESS,Actor_04,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-02-01-01-02-04.wav,RAVDESS,Actor_04,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-02-01-02-01-04.wav,RAVDESS,Actor_04,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-02-01-02-02-04.wav,RAVDESS,Actor_04,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-01-01-04.wav,RAVDESS,Actor_04,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-01-02-04.wav,RAVDESS,Actor_04,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-02-01-04.wav,RAVDESS,Actor_04,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-02-02-04.wav,RAVDESS,Actor_04,calm
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-01-01-04.wav,RAVDESS,Actor_04,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-01-02-04.wav,RAVDESS,Actor_04,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-02-01-04.wav,RAVDESS,Actor_04,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-02-02-04.wav,RAVDESS,Actor_04,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-01-01-04.wav,RAVDESS,Actor_04,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-01-02-04.wav,RAVDESS,Actor_04,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-02-01-04.wav,RAVDESS,Actor_04,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-02-02-04.wav,RAVDESS,Actor_04,happy
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-01-01-04.wav,RAVDESS,Actor_04,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-01-02-04.wav,RAVDESS,Actor_04,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-02-01-04.wav,RAVDESS,Actor_04,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-02-02-04.wav,RAVDESS,Actor_04,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-01-01-04.wav,RAVDESS,Actor_04,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-01-02-04.wav,RAVDESS,Actor_04,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-02-01-04.wav,RAVDESS,Actor_04,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-02-02-04.wav,RAVDESS,Actor_04,sad
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-05-01-01-01-04.wav,RAVDESS,Actor_04,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-05-01-01-02-04.wav,RAVDESS,Actor_04,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-05-01-02-01-04.wav,RAVDESS,Actor_04,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-05-01-02-02-04.wav,RAVDESS,Actor_04,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-05-02-01-01-04.wav,RAVDESS,Actor_04,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-05-02-01-02-04.wav,RAVDESS,Actor_04,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-05-02-02-01-04.wav,RAVDESS,Actor_04,angry
data\RAVDESS\Audio_Speech_Actors_01-24\Actor_04\03-01-05-02-02-02-04.wav,RAVDESS,Actor_04,angry
